year,grand_prix,grand_prix_mapped,driver_number,lap_number
2023,Spa-Francorchamps,Belgian_Grand_Prix,2,34.0
2023,Spa-Francorchamps,Belgian_Grand_Prix,44,42.0
2023,Zandvoort,Dutch_Grand_Prix,11,1.0
2023,Zandvoort,Dutch_Grand_Prix,24,1.0
2023,Zandvoort,Dutch_Grand_Prix,10,1.0
2023,Zandvoort,Dutch_Grand_Prix,16,1.0
2023,Zandvoort,Dutch_Grand_Prix,22,1.0
2023,Zandvoort,Dutch_Grand_Prix,20,1.0
2023,Zandvoort,Dutch_Grand_Prix,40,1.0
2023,Zandvoort,Dutch_Grand_Prix,1,2.0
2023,Zandvoort,Dutch_Grand_Prix,14,2.0
2023,Zandvoort,Dutch_Grand_Prix,55,2.0
2023,Zandvoort,Dutch_Grand_Prix,31,2.0
2023,Zandvoort,Dutch_Grand_Prix,4,3.0
2023,Zandvoort,Dutch_Grand_Prix,44,3.0
2023,Zandvoort,Dutch_Grand_Prix,63,4.0
2023,Zandvoort,Dutch_Grand_Prix,18,4.0
2023,Zandvoort,Dutch_Grand_Prix,20,9.0
2023,Zandvoort,Dutch_Grand_Prix,44,9.0
2023,Zandvoort,Dutch_Grand_Prix,18,9.0
2023,Zandvoort,Dutch_Grand_Prix,24,10.0
2023,Zandvoort,Dutch_Grand_Prix,14,10.0
2023,Zandvoort,Dutch_Grand_Prix,55,10.0
2023,Zandvoort,Dutch_Grand_Prix,22,10.0
2023,Zandvoort,Dutch_Grand_Prix,31,10.0
2023,Zandvoort,Dutch_Grand_Prix,4,10.0
2023,Zandvoort,Dutch_Grand_Prix,40,10.0
2023,Zandvoort,Dutch_Grand_Prix,63,10.0
2023,Zandvoort,Dutch_Grand_Prix,1,11.0
2023,Zandvoort,Dutch_Grand_Prix,10,11.0
2023,Zandvoort,Dutch_Grand_Prix,16,11.0
2023,Zandvoort,Dutch_Grand_Prix,11,12.0
2023,Zandvoort,Dutch_Grand_Prix,81,15.0
2023,Zandvoort,Dutch_Grand_Prix,77,16.0
2023,Zandvoort,Dutch_Grand_Prix,27,16.0
2023,Zandvoort,Dutch_Grand_Prix,63,16.0
2023,Zandvoort,Dutch_Grand_Prix,18,16.0
2023,Zandvoort,Dutch_Grand_Prix,40,17.0
2023,Zandvoort,Dutch_Grand_Prix,18,34.0
2023,Zandvoort,Dutch_Grand_Prix,20,35.0
2023,Zandvoort,Dutch_Grand_Prix,24,37.0
2023,Zandvoort,Dutch_Grand_Prix,55,41.0
2023,Zandvoort,Dutch_Grand_Prix,4,42.0
2023,Zandvoort,Dutch_Grand_Prix,31,43.0
2023,Zandvoort,Dutch_Grand_Prix,23,44.0
2023,Zandvoort,Dutch_Grand_Prix,11,45.0
2023,Zandvoort,Dutch_Grand_Prix,44,45.0
2023,Zandvoort,Dutch_Grand_Prix,10,46.0
2023,Zandvoort,Dutch_Grand_Prix,81,46.0
2023,Zandvoort,Dutch_Grand_Prix,40,46.0
2023,Zandvoort,Dutch_Grand_Prix,77,47.0
2023,Zandvoort,Dutch_Grand_Prix,14,48.0
2023,Zandvoort,Dutch_Grand_Prix,27,48.0
2023,Zandvoort,Dutch_Grand_Prix,1,49.0
2023,Zandvoort,Dutch_Grand_Prix,77,59.0
2023,Zandvoort,Dutch_Grand_Prix,40,59.0
2023,Zandvoort,Dutch_Grand_Prix,11,60.0
2023,Zandvoort,Dutch_Grand_Prix,10,60.0
2023,Zandvoort,Dutch_Grand_Prix,55,60.0
2023,Zandvoort,Dutch_Grand_Prix,44,60.0
2023,Zandvoort,Dutch_Grand_Prix,4,60.0
2023,Zandvoort,Dutch_Grand_Prix,63,60.0
2023,Zandvoort,Dutch_Grand_Prix,81,60.0
2023,Zandvoort,Dutch_Grand_Prix,22,60.0
2023,Zandvoort,Dutch_Grand_Prix,24,60.0
2023,Zandvoort,Dutch_Grand_Prix,18,60.0
2023,Zandvoort,Dutch_Grand_Prix,27,60.0
2023,Zandvoort,Dutch_Grand_Prix,1,61.0
2023,Zandvoort,Dutch_Grand_Prix,20,60.0
2023,Zandvoort,Dutch_Grand_Prix,14,61.0
2023,Zandvoort,Dutch_Grand_Prix,23,61.0
2023,Zandvoort,Dutch_Grand_Prix,31,61.0
2023,Zandvoort,Dutch_Grand_Prix,1,63.0
2023,Zandvoort,Dutch_Grand_Prix,11,63.0
2023,Zandvoort,Dutch_Grand_Prix,4,63.0
2023,Zandvoort,Dutch_Grand_Prix,63,63.0
2023,Zandvoort,Dutch_Grand_Prix,23,63.0
2023,Zandvoort,Dutch_Grand_Prix,81,63.0
2023,Zandvoort,Dutch_Grand_Prix,31,63.0
2023,Zandvoort,Dutch_Grand_Prix,22,63.0
2023,Zandvoort,Dutch_Grand_Prix,18,63.0
2023,Zandvoort,Dutch_Grand_Prix,27,63.0
2023,Zandvoort,Dutch_Grand_Prix,77,63.0
2023,Zandvoort,Dutch_Grand_Prix,40,63.0
2023,Zandvoort,Dutch_Grand_Prix,20,63.0
2023,Zandvoort,Dutch_Grand_Prix,1,64.0
2023,Zandvoort,Dutch_Grand_Prix,14,64.0
2023,Zandvoort,Dutch_Grand_Prix,11,64.0
2023,Zandvoort,Dutch_Grand_Prix,10,64.0
2023,Zandvoort,Dutch_Grand_Prix,55,64.0
2023,Zandvoort,Dutch_Grand_Prix,44,64.0
2023,Zandvoort,Dutch_Grand_Prix,4,64.0
2023,Zandvoort,Dutch_Grand_Prix,63,64.0
2023,Zandvoort,Dutch_Grand_Prix,23,64.0
2023,Zandvoort,Dutch_Grand_Prix,81,64.0
2023,Zandvoort,Dutch_Grand_Prix,31,64.0
2023,Zandvoort,Dutch_Grand_Prix,22,64.0
2023,Zandvoort,Dutch_Grand_Prix,18,64.0
2023,Zandvoort,Dutch_Grand_Prix,27,64.0
2023,Zandvoort,Dutch_Grand_Prix,77,64.0
2023,Zandvoort,Dutch_Grand_Prix,40,64.0
2023,Zandvoort,Dutch_Grand_Prix,20,64.0
2023,Zandvoort,Dutch_Grand_Prix,63,67.0
2023,Monza,Italian_Grand_Prix,10,10.0
2023,Monza,Italian_Grand_Prix,24,11.0
2023,Monza,Italian_Grand_Prix,20,12.0
2023,Monza,Italian_Grand_Prix,40,13.0
2023,Monza,Italian_Grand_Prix,2,14.0
2023,Monza,Italian_Grand_Prix,27,14.0
2023,Monza,Italian_Grand_Prix,23,15.0
2023,Monza,Italian_Grand_Prix,55,19.0
2023,Monza,Italian_Grand_Prix,63,19.0
2023,Monza,Italian_Grand_Prix,1,20.0
2023,Monza,Italian_Grand_Prix,16,20.0
2023,Monza,Italian_Grand_Prix,18,20.0
2023,Monza,Italian_Grand_Prix,11,21.0
2023,Monza,Italian_Grand_Prix,14,21.0
2023,Monza,Italian_Grand_Prix,4,22.0
2023,Monza,Italian_Grand_Prix,81,23.0
2023,Monza,Italian_Grand_Prix,31,24.0
2023,Monza,Italian_Grand_Prix,77,25.0
2023,Monza,Italian_Grand_Prix,44,27.0
2023,Monza,Italian_Grand_Prix,10,31.0
2023,Monza,Italian_Grand_Prix,40,33.0
2023,Monza,Italian_Grand_Prix,24,33.0
2023,Monza,Italian_Grand_Prix,20,33.0
2023,Monza,Italian_Grand_Prix,27,39.0
2023,Monza,Italian_Grand_Prix,81,41.0
2023,Singapore,Singapore_Grand_Prix,24,2.0
2023,Singapore,Singapore_Grand_Prix,2,19.0
2023,Singapore,Singapore_Grand_Prix,55,20.0
2023,Singapore,Singapore_Grand_Prix,63,20.0
2023,Singapore,Singapore_Grand_Prix,4,20.0
2023,Singapore,Singapore_Grand_Prix,16,20.0
2023,Singapore,Singapore_Grand_Prix,44,20.0
2023,Singapore,Singapore_Grand_Prix,14,20.0
2023,Singapore,Singapore_Grand_Prix,31,20.0
2023,Singapore,Singapore_Grand_Prix,20,20.0
2023,Singapore,Singapore_Grand_Prix,10,20.0
2023,Singapore,Singapore_Grand_Prix,81,20.0
2023,Singapore,Singapore_Grand_Prix,40,20.0
2023,Singapore,Singapore_Grand_Prix,27,20.0
2023,Singapore,Singapore_Grand_Prix,23,20.0
2023,Singapore,Singapore_Grand_Prix,24,20.0
2023,Singapore,Singapore_Grand_Prix,11,39.0
2023,Singapore,Singapore_Grand_Prix,1,40.0
2023,Singapore,Singapore_Grand_Prix,77,40.0
2023,Singapore,Singapore_Grand_Prix,23,43.0
2023,Singapore,Singapore_Grand_Prix,20,43.0
2023,Singapore,Singapore_Grand_Prix,2,43.0
2023,Singapore,Singapore_Grand_Prix,63,44.0
2023,Singapore,Singapore_Grand_Prix,44,44.0
2023,Singapore,Singapore_Grand_Prix,14,44.0
2023,Suzuka,Japanese_Grand_Prix,31,1.0
2023,Suzuka,Japanese_Grand_Prix,24,1.0
2023,Suzuka,Japanese_Grand_Prix,23,1.0
2023,Suzuka,Japanese_Grand_Prix,77,1.0
2023,Suzuka,Japanese_Grand_Prix,11,2.0
2023,Suzuka,Japanese_Grand_Prix,2,2.0
2023,Suzuka,Japanese_Grand_Prix,2,5.0
2023,Suzuka,Japanese_Grand_Prix,77,6.0
2023,Suzuka,Japanese_Grand_Prix,27,8.0
2023,Suzuka,Japanese_Grand_Prix,22,9.0
2023,Suzuka,Japanese_Grand_Prix,40,10.0
2023,Suzuka,Japanese_Grand_Prix,24,10.0
2023,Suzuka,Japanese_Grand_Prix,14,11.0
2023,Suzuka,Japanese_Grand_Prix,20,12.0
2023,Suzuka,Japanese_Grand_Prix,11,12.0
2023,Suzuka,Japanese_Grand_Prix,81,13.0
2023,Suzuka,Japanese_Grand_Prix,23,13.0
2023,Suzuka,Japanese_Grand_Prix,18,14.0
2023,Suzuka,Japanese_Grand_Prix,1,16.0
2023,Suzuka,Japanese_Grand_Prix,44,16.0
2023,Suzuka,Japanese_Grand_Prix,4,17.0
2023,Suzuka,Japanese_Grand_Prix,16,17.0
2023,Suzuka,Japanese_Grand_Prix,55,18.0
2023,Suzuka,Japanese_Grand_Prix,10,18.0
2023,Suzuka,Japanese_Grand_Prix,27,21.0
2023,Suzuka,Japanese_Grand_Prix,2,21.0
2023,Suzuka,Japanese_Grand_Prix,63,24.0
2023,Suzuka,Japanese_Grand_Prix,14,25.0
2023,Suzuka,Japanese_Grand_Prix,40,25.0
2023,Suzuka,Japanese_Grand_Prix,31,28.0
2023,Suzuka,Japanese_Grand_Prix,24,29.0
2023,Suzuka,Japanese_Grand_Prix,22,30.0
2023,Suzuka,Japanese_Grand_Prix,20,31.0
2023,Suzuka,Japanese_Grand_Prix,16,34.0
2023,Suzuka,Japanese_Grand_Prix,44,34.0
2023,Suzuka,Japanese_Grand_Prix,10,34.0
2023,Suzuka,Japanese_Grand_Prix,81,35.0
2023,Suzuka,Japanese_Grand_Prix,4,36.0
2023,Suzuka,Japanese_Grand_Prix,1,37.0
2023,Suzuka,Japanese_Grand_Prix,27,37.0
2023,Suzuka,Japanese_Grand_Prix,55,38.0
2023,Suzuka,Japanese_Grand_Prix,11,13.0
2023,Suzuka,Japanese_Grand_Prix,11,14.0
2023,Lusail,Qatar_Grand_Prix,63,1.0
2023,Lusail,Qatar_Grand_Prix,77,3.0
2023,Lusail,Qatar_Grand_Prix,20,3.0
2023,Lusail,Qatar_Grand_Prix,18,3.0
2023,Lusail,Qatar_Grand_Prix,40,3.0
2023,Lusail,Qatar_Grand_Prix,22,9.0
2023,Lusail,Qatar_Grand_Prix,31,10.0
2023,Lusail,Qatar_Grand_Prix,14,11.0
2023,Lusail,Qatar_Grand_Prix,10,11.0
2023,Lusail,Qatar_Grand_Prix,81,12.0
2023,Lusail,Qatar_Grand_Prix,16,12.0
2023,Lusail,Qatar_Grand_Prix,4,13.0
2023,Lusail,Qatar_Grand_Prix,2,13.0
2023,Lusail,Qatar_Grand_Prix,27,13.0
2023,Lusail,Qatar_Grand_Prix,63,14.0
2023,Lusail,Qatar_Grand_Prix,1,17.0
2023,Lusail,Qatar_Grand_Prix,11,17.0
2023,Lusail,Qatar_Grand_Prix,23,18.0
2023,Lusail,Qatar_Grand_Prix,24,18.0
2023,Lusail,Qatar_Grand_Prix,77,21.0
2023,Lusail,Qatar_Grand_Prix,18,21.0
2023,Lusail,Qatar_Grand_Prix,20,21.0
2023,Lusail,Qatar_Grand_Prix,40,21.0
2023,Lusail,Qatar_Grand_Prix,22,22.0
2023,Lusail,Qatar_Grand_Prix,81,25.0
2023,Lusail,Qatar_Grand_Prix,16,25.0
2023,Lusail,Qatar_Grand_Prix,31,25.0
2023,Lusail,Qatar_Grand_Prix,14,26.0
2023,Lusail,Qatar_Grand_Prix,10,26.0
2023,Lusail,Qatar_Grand_Prix,2,26.0
2023,Lusail,Qatar_Grand_Prix,4,27.0
2023,Lusail,Qatar_Grand_Prix,27,27.0
2023,Lusail,Qatar_Grand_Prix,11,31.0
2023,Lusail,Qatar_Grand_Prix,23,31.0
2023,Lusail,Qatar_Grand_Prix,63,32.0
2023,Lusail,Qatar_Grand_Prix,1,34.0
2023,Lusail,Qatar_Grand_Prix,24,35.0
2023,Lusail,Qatar_Grand_Prix,77,39.0
2023,Lusail,Qatar_Grand_Prix,18,39.0
2023,Lusail,Qatar_Grand_Prix,20,39.0
2023,Lusail,Qatar_Grand_Prix,40,39.0
2023,Lusail,Qatar_Grand_Prix,27,39.0
2023,Lusail,Qatar_Grand_Prix,22,40.0
2023,Lusail,Qatar_Grand_Prix,81,43.0
2023,Lusail,Qatar_Grand_Prix,16,43.0
2023,Lusail,Qatar_Grand_Prix,31,43.0
2023,Lusail,Qatar_Grand_Prix,11,43.0
2023,Lusail,Qatar_Grand_Prix,4,44.0
2023,Lusail,Qatar_Grand_Prix,14,44.0
2023,Lusail,Qatar_Grand_Prix,10,44.0
2023,Lusail,Qatar_Grand_Prix,23,44.0
2023,Lusail,Qatar_Grand_Prix,63,50.0
2023,Lusail,Qatar_Grand_Prix,1,51.0
2023,Lusail,Qatar_Grand_Prix,24,52.0
2023,Austin,United_States_Grand_Prix,24,9.0
2023,Austin,United_States_Grand_Prix,23,10.0
2023,Austin,United_States_Grand_Prix,77,10.0
2023,Austin,United_States_Grand_Prix,20,10.0
2023,Austin,United_States_Grand_Prix,2,11.0
2023,Austin,United_States_Grand_Prix,1,16.0
2023,Austin,United_States_Grand_Prix,4,17.0
2023,Austin,United_States_Grand_Prix,55,17.0
2023,Austin,United_States_Grand_Prix,11,17.0
