meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start,grand_prix,race_session_key
1258,10022,2,44,24.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,55,22.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,23,23.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,6,35.0,50.0,MEDIUM,0,Jeddah,10022
1258,10022,2,30,21.0,50.0,HARD,1,Jeddah,10022
1258,10022,2,14,20.0,50.0,HARD,1,Jeddah,10022
1258,10022,2,87,19.0,50.0,HARD,0,Jeddah,10022
1258,10022,2,31,2.0,50.0,HARD,0,Jeddah,10022
1259,10033,1,1,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,12,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,81,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,63,1.0,32.0,HARD,24,Miami,10033
1259,10033,1,23,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,4,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,55,1.0,32.0,MEDIUM,30,Miami,10033
1259,10033,1,16,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,22,1.0,32.0,MEDIUM,24,Miami,10033
1259,10033,1,31,1.0,23.0,MEDIUM,23,Miami,10033
1259,10033,1,6,1.0,23.0,MEDIUM,22,Miami,10033
1259,10033,1,44,1.0,32.0,HARD,23,Miami,10033
1259,10033,1,5,1.0,23.0,MEDIUM,19,Miami,10033
1259,10033,1,27,1.0,36.0,HARD,23,Miami,10033
1259,10033,1,18,1.0,23.0,MEDIUM,21,Miami,10033
1259,10033,1,87,1.0,27.0,HARD,23,Miami,10033
1259,10033,1,14,1.0,32.0,HARD,24,Miami,10033
1259,10033,1,10,1.0,32.0,HARD,23,Miami,10033
1259,10033,1,30,1.0,31.0,HARD,23,Miami,10033
1259,10033,2,5,24.0,30.0,HARD,4,Miami,10033
1259,10033,2,31,24.0,57.0,HARD,0,Miami,10033
1259,10033,2,6,24.0,57.0,HARD,1,Miami,10033
1259,10033,2,18,24.0,56.0,HARD,4,Miami,10033
1259,10033,1,7,1.0,1.0,MEDIUM,0,Miami,10033
1259,10033,2,63,33.0,57.0,MEDIUM,3,Miami,10033
1259,10033,2,14,33.0,56.0,MEDIUM,5,Miami,10033
1259,10033,2,10,33.0,57.0,MEDIUM,0,Miami,10033
1259,10033,2,81,33.0,57.0,HARD,3,Miami,10033
1259,10033,2,12,33.0,57.0,HARD,7,Miami,10033
1259,10033,2,23,33.0,57.0,HARD,6,Miami,10033
1259,10033,2,16,33.0,57.0,HARD,3,Miami,10033
1259,10033,2,22,33.0,57.0,HARD,5,Miami,10033
1259,10033,2,4,33.0,57.0,HARD,3,Miami,10033
1259,10033,2,55,33.0,57.0,HARD,7,Miami,10033
1259,10033,2,44,33.0,57.0,MEDIUM,4,Miami,10033
1259,10033,2,30,32.0,36.0,MEDIUM,3,Miami,10033
1259,10033,2,1,33.0,57.0,HARD,6,Miami,10033
1259,10033,2,27,37.0,56.0,MEDIUM,0,Miami,10033
1260,9987,1,31,1.0,1.0,MEDIUM,0,Imola,9987
1260,9987,1,10,1.0,9.0,MEDIUM,0,Imola,9987
1260,9987,1,16,1.0,10.0,MEDIUM,0,Imola,9987
1260,9987,1,30,1.0,10.0,MEDIUM,0,Imola,9987
1260,9987,1,63,1.0,11.0,MEDIUM,3,Imola,9987
1260,9987,1,55,1.0,11.0,MEDIUM,0,Imola,9987
1260,9987,1,14,1.0,12.0,MEDIUM,3,Imola,9987
1260,9987,1,5,1.0,12.0,MEDIUM,0,Imola,9987
1260,9987,1,81,1.0,13.0,MEDIUM,0,Imola,9987
1260,9987,1,18,1.0,14.0,MEDIUM,3,Imola,9987
1260,9987,1,43,1.0,22.0,MEDIUM,0,Imola,9987
1260,9987,2,31,2.0,27.0,HARD,0,Imola,9987
1260,9987,1,4,1.0,28.0,MEDIUM,0,Imola,9987
1260,9987,1,1,1.0,29.0,MEDIUM,0,Imola,9987
1260,9987,1,23,1.0,29.0,MEDIUM,0,Imola,9987
1260,9987,1,6,1.0,29.0,MEDIUM,0,Imola,9987
1260,9987,1,12,1.0,29.0,HARD,0,Imola,9987
1260,9987,1,44,1.0,29.0,HARD,0,Imola,9987
1260,9987,2,16,11.0,29.0,HARD,0,Imola,9987
1260,9987,1,27,1.0,29.0,HARD,0,Imola,9987
1260,9987,1,87,1.0,29.0,HARD,0,Imola,9987
1260,9987,2,63,12.0,29.0,HARD,0,Imola,9987
1260,9987,1,22,1.0,29.0,HARD,0,Imola,9987
1260,9987,2,55,12.0,29.0,HARD,0,Imola,9987
1260,9987,2,10,10.0,29.0,HARD,0,Imola,9987
1260,9987,2,30,11.0,29.0,HARD,0,Imola,9987
1260,9987,2,5,13.0,29.0,HARD,0,Imola,9987
1260,9987,2,81,14.0,30.0,HARD,0,Imola,9987
1260,9987,2,87,30.0,31.0,MEDIUM,0,Imola,9987
1260,9987,2,12,30.0,44.0,MEDIUM,0,Imola,9987
1260,9987,2,1,30.0,46.0,HARD,0,Imola,9987
1260,9987,2,4,29.0,46.0,HARD,0,Imola,9987
1260,9987,2,44,30.0,46.0,MEDIUM,0,Imola,9987
1260,9987,2,6,30.0,46.0,HARD,0,Imola,9987
1260,9987,2,14,13.0,46.0,HARD,1,Imola,9987
1260,9987,2,18,15.0,46.0,HARD,1,Imola,9987
1260,9987,2,43,23.0,46.0,HARD,0,Imola,9987
1260,9987,3,5,30.0,46.0,HARD,0,Imola,9987
1260,9987,2,23,30.0,47.0,HARD,0,Imola,9987
1260,9987,3,1,47.0,63.0,HARD,0,Imola,9987
1260,9987,3,4,47.0,63.0,HARD,1,Imola,9987
1260,9987,3,81,31.0,63.0,HARD,0,Imola,9987
1260,9987,3,44,47.0,63.0,HARD,0,Imola,9987
1260,9987,3,23,48.0,63.0,HARD,0,Imola,9987
1260,9987,3,16,30.0,63.0,HARD,0,Imola,9987
1260,9987,3,63,30.0,63.0,HARD,0,Imola,9987
1260,9987,3,55,30.0,63.0,HARD,0,Imola,9987
1260,9987,3,6,47.0,63.0,HARD,0,Imola,9987
1260,9987,2,22,30.0,63.0,MEDIUM,0,Imola,9987
1260,9987,3,14,47.0,63.0,MEDIUM,4,Imola,9987
1260,9987,2,27,30.0,63.0,MEDIUM,0,Imola,9987
1260,9987,3,10,30.0,63.0,HARD,0,Imola,9987
1260,9987,3,30,30.0,63.0,HARD,0,Imola,9987
1260,9987,3,18,47.0,63.0,MEDIUM,6,Imola,9987
1260,9987,3,43,47.0,63.0,HARD,0,Imola,9987
1260,9987,3,87,32.0,63.0,HARD,0,Imola,9987
1260,9987,4,5,47.0,63.0,MEDIUM,12,Imola,9987
1261,9979,1,22,1.0,0.0,SOFT,0,Monte Carlo,9979
1261,9979,1,10,1.0,0.0,MEDIUM,6,Monte Carlo,9979
1261,9979,1,87,1.0,0.0,MEDIUM,0,Monte Carlo,9979
1261,9979,1,5,1.0,0.0,MEDIUM,0,Monte Carlo,9979
1261,9979,2,10,1.0,7.0,MEDIUM,0,Monte Carlo,9979
1261,9979,1,27,1.0,11.0,MEDIUM,0,Monte Carlo,9979
