season_year,grand_prix,driver_number,lap_number
2024,Suzuka,4,11.0
2024,Suzuka,24,11.0
2024,Suzuka,81,12.0
2024,Suzuka,18,12.0
2024,Suzuka,14,13.0
2024,Suzuka,11,15.0
2024,Suzuka,55,15.0
2024,Suzuka,1,16.0
2024,Suzuka,10,16.0
2024,Suzuka,31,19.0
2024,Suzuka,63,22.0
2024,Suzuka,22,22.0
2024,Suzuka,20,22.0
2024,Suzuka,18,22.0
2024,Suzuka,77,22.0
2024,Suzuka,2,22.0
2024,Suzuka,44,23.0
2024,Suzuka,16,26.0
2024,Suzuka,4,26.0
2024,Suzuka,81,32.0
2024,Suzuka,10,32.0
2024,Suzuka,11,33.0
2024,Suzuka,14,33.0
2024,Suzuka,27,33.0
2024,Suzuka,31,33.0
2024,Suzuka,1,34.0
2024,Suzuka,18,34.0
2024,Suzuka,2,34.0
2024,Suzuka,55,36.0
2024,Suzuka,63,37.0
2024,Suzuka,44,39.0
2024,Suzuka,2,41.0
2024,Shanghai,27,8.0
2024,Shanghai,22,8.0
2024,Shanghai,24,8.0
2024,Shanghai,18,9.0
2024,Shanghai,77,9.0
2024,Shanghai,31,9.0
2024,Shanghai,23,9.0
2024,Shanghai,44,9.0
2024,Shanghai,14,11.0
2024,Shanghai,63,11.0
2024,Shanghai,10,11.0
2024,Shanghai,2,12.0
2024,Shanghai,1,13.0
2024,Shanghai,11,13.0
2024,Shanghai,3,14.0
2024,Shanghai,81,16.0
2024,Shanghai,55,17.0
2024,Shanghai,20,17.0
2024,Shanghai,16,21.0
2024,Shanghai,18,21.0
2024,Shanghai,44,21.0
2024,Shanghai,4,22.0
2024,Shanghai,1,23.0
2024,Shanghai,11,23.0
2024,Shanghai,14,23.0
2024,Shanghai,63,23.0
2024,Shanghai,27,23.0
2024,Shanghai,31,23.0
2024,Shanghai,22,23.0
2024,Shanghai,23,23.0
2024,Shanghai,24,23.0
2024,Shanghai,10,23.0
2024,Shanghai,81,24.0
2024,Shanghai,2,24.0
2024,Shanghai,18,26.0
2024,Shanghai,20,27.0
2024,Shanghai,18,35.0
2024,Shanghai,10,38.0
2024,Shanghai,24,40.0
2024,Shanghai,14,43.0
2024,Miami,23,10.0
2024,Miami,18,11.0
2024,Miami,2,11.0
2024,Miami,77,11.0
2024,Miami,27,12.0
2024,Miami,10,12.0
2024,Miami,11,17.0
2024,Miami,16,19.0
2024,Miami,31,22.0
2024,Miami,14,22.0
2024,Miami,20,22.0
2024,Miami,1,23.0
2024,Miami,63,24.0
2024,Miami,44,26.0
2024,Miami,81,27.0
2024,Miami,55,27.0
2024,Miami,11,28.0
2024,Miami,22,28.0
2024,Miami,24,28.0
2024,Miami,3,28.0
2024,Miami,27,28.0
2024,Miami,18,28.0
2024,Miami,20,28.0
2024,Miami,4,29.0
2024,Miami,77,29.0
2024,Miami,20,31.0
